Google,Apple,Google2,Apple2
8.9,1,8.9,2.2
-10.4,-1.3,-10.4,0.8
1.9,9.8,1.9,7.6
2.9,7.4,2.9,6.1
5.6,21.4,5.6,14.7
5,0.7,5,2.0
-2.4,8,-2.4,6.5
1,5.1,1,4.7
10.1,10.8,10.1,8.2
24.6,23.8,24.6,16.2
-2,-4.1,-2,-1.0
-0.2,8.7,-0.2,6.9
-18.4,-31.7,-18.4,-18.0
-16.5,-7.6,-16.5,-3.1
-6.5,14.8,-6.5,10.7
30.4,21.2,30.4,14.6
2,8.5,2,6.8
-10.1,-11.3,-10.1,-5.4
-10,-5.1,-10,-1.6
-2.2,6.7,-2.2,5.7
-13.5,-33,-13.5,-18.8
-10.3,-5.3,-10.3,-1.7
-18.5,-13.9,-18.5,-7.0
5,-7.9,5,-3.3
10,5.6,10,5.0
-0.2,-0.9,-0.2,1.0
3,17.7,3,12.5
13.8,19.7,13.8,13.7
5.4,7.9,5.4,6.4
1,4.9,1,4.6
5.1,14.7,5.1,10.6
4.2,3,4.2,3.4
7.4,10.2,7.4,7.8
8.1,1.7,8.1,2.6
8.7,6.1,8.7,5.3
6.3,5.4,6.3,4.9
-14.5,-8.9,-14.5,-3.9
-0.6,6.5,-0.6,5.6
7.7,14.8,7.7,10.7
-7.3,11.1,-7.3,8.4
-7.6,-1.6,-7.6,0.6
-8.4,-2.1,-8.4,0.3
9,2.3,9,3.0
-7.2,-5.5,-7.2,-1.8
16.8,16.7,16.8,11.8
16.7,6.1,16.7,5.3
-9.4,3.4,-9.4,3.7
6.9,3.7,6.9,3.8
1.1,5.2,1.1,4.8
2.2,4.1,2.2,4.1
-4.3,-1.3,-4.3,0.8
-7.3,0.5,-7.3,1.9
-2.8,-0.7,-2.8,1.1
-4.3,-3.5,-4.3,-0.6
19.2,16.3,19.2,11.6
-10.4,-1.4,-10.4,0.7
-4.8,-0.9,-4.8,1.0
15.1,6.2,15.1,5.4
1.1,-5.6,1.1,-1.9
7.8,6,7.8,5.3
-10.2,12.7,-10.2,9.4
6.6,18.8,6.6,13.1
3.7,10.5,3.7,8.0
-5.7,-2.6,-5.7,0.0
-4,-1.1,-4,0.9
-0.1,1.1,-0.1,2.2
9.1,4.6,9.1,4.4
8.2,9.4,8.2,7.4
10.1,0.3,10.1,1.7
-9.8,-10.8,-9.8,-5.1
2.7,-1.2,2.7,0.8
1.3,-9.1,1.3,-4.0
6.8,-14.4,6.8,-7.3
6,-2.5,6,0.0
-0.9,0.3,-0.9,1.7
3.8,0,3.8,1.6
5.7,2.3,5.7,3.0
1.1,-11.8,1.1,-5.7
0.8,14.1,0.8,10.2
-4.6,8.3,-4.6,6.7
3.4,-2.1,3.4,0.3
17.7,9.6,17.7,7.5
2.8,7,2.8,5.9
5.8,0.9,5.8,2.1
5.4,-10.8,5.4,-5.1
2.9,5.7,2.9,5.1
-8.3,2,-8.3,2.8
-4.2,9.9,-4.2,7.7
6.9,7.8,6.9,6.4
2.3,2.8,2.3,3.3
-0.9,2.9,-0.9,3.3
0.5,7.7,0.5,6.3
1,-1.7,1,0.5
-3.5,7.2,-3.5,6.0
-3.3,10.6,-3.3,8.1
-3.4,-7.2,-3.4,-2.9
1.3,6.1,1.3,5.3
4.7,10,4.7,7.7
-1.4,-3.1,-1.4,-0.3
-1.1,0.6,-1.1,1.9
-0.6,4.5,-0.6,4.3
-1,-3.7,-1,-0.7
21.8,-3.3,21.8,-0.5
-1.5,-6.6,-1.5,-2.5
-1.5,-2.2,-1.5,0.2
15.5,8.3,15.5,6.7
3.5,-0.6,3.5,1.2
2,-11,2,-5.2
-2.1,-7.5,-2.1,-3.1
-5.8,-0.1,-5.8,1.5
6.4,12.7,6.4,9.4
-7.2,-14,-7.2,-7.1
5.8,7.1,5.8,5.9
-6.1,-4.3,-6.1,-1.1
12.5,9,12.5,7.1
-0.2,2.4,-0.2,3.0
1.8,6.6,1.8,5.6
0.7,0.4,0.7,1.8
-4.2,-2.2,-4.2,0.2
2.1,4.8,2.1,4.5
